locality,property_type,subtype,price,type_of_sale,nb_rooms,living_area,kitchen_equipped,furnished,open_fire,terrace,terrace_area,garden,garden_area,url
Etterbeek,Apartment,,1550,rent,1,71,1,1,0,0,0,0,0,https://immovlan.be/en/detail/apartment/for-rent/1040/etterbeek/vbd90682
Ukkel,Apartment,,1200,rent,1,61,0,0,0,0,0,0,0,https://immovlan.be/en/detail/apartment/for-rent/1180/ukkel/vbd90680
Westende,Apartment,,590,rent,0,40,1,1,0,1,,1,,https://immovlan.be/en/detail/apartment/for-rent/8434/westende/rbv34923
Schaarbeek,Apartment,,1400,rent,1,85,1,1,0,1,30,0,0,https://immovlan.be/en/detail/apartment/for-rent/1030/schaarbeek/vbd90686
Sint-Jans-Molenbeek,Ground,,980,for,1,66,0,0,0,1,10,1,100,https://immovlan.be/en/detail/ground-floor/for-rent/1080/sint-jans-molenbeek/rbv34540
Mettet,Apartment,,1000,rent,2,83,0,0,0,1,10,0,0,https://immovlan.be/en/detail/apartment/for-rent/5640/mettet/vbd90674
Erpent,Studio,,730,rent,1,29,0,0,0,1,4,0,0,https://immovlan.be/en/detail/studio/for-rent/5101/erpent/vbd90615
Elsene,Duplex,,4500,rent,3,356,0,0,0,1,80,0,0,https://immovlan.be/en/detail/duplex/for-rent/1050/elsene/vbd90658
Mechelen,Apartment,,1150,rent,3,115,0,0,0,1,,0,0,https://immovlan.be/en/detail/apartment/for-rent/2800/mechelen/rbv34514
Sint-Lambrechts-Woluwe,Apartment,,1650,rent,2,80,1,1,0,1,15,0,0,https://immovlan.be/en/detail/apartment/for-rent/1200/sint-lambrechts-woluwe/vbd90650
Schaarbeek,Apartment,,1250,rent,1,60,0,0,0,0,0,0,0,https://immovlan.be/en/detail/apartment/for-rent/1030/schaarbeek/vbd90616
Namur,Ground,,900,for,2,91,0,0,0,0,0,0,0,https://immovlan.be/en/detail/ground-floor/for-rent/5000/namur/vbd90634
Elsene,Duplex,,5450,rent,3,356,1,1,0,1,80,0,0,https://immovlan.be/en/detail/duplex/for-rent/1050/elsene/vbd90659
Ukkel,Residence,,3200,rent,5,262,0,0,0,1,26,1,35,https://immovlan.be/en/detail/residence/for-rent/1180/ukkel/vbd90660
Antwerp,Apartment,,985,rent,2,87,0,0,1,0,0,0,0,https://immovlan.be/en/detail/apartment/for-rent/2018/antwerp/rwc41896
Schaarbeek,Studio,,895,rent,0,35,0,0,0,0,0,0,0,https://immovlan.be/en/detail/studio/for-rent/1030/schaarbeek/vbd90655
Etterbeek,Apartment,,1300,rent,2,132,0,0,0,1,,0,0,https://immovlan.be/en/detail/apartment/for-rent/1040/etterbeek/vbd90656
Namur,Apartment,,950,rent,2,83,0,0,0,1,9,0,0,https://immovlan.be/en/detail/apartment/for-rent/5000/namur/vbd90614
Perwez,Residence,,1500,rent,4,155,0,0,0,1,28,1,,https://immovlan.be/en/detail/residence/for-rent/1360/perwez/vbd90661
Sint-Lambrechts-Woluwe,Apartment,,1000,rent,1,81,0,0,0,1,12,0,0,https://immovlan.be/en/detail/apartment/for-rent/1200/sint-lambrechts-woluwe/vbd90631
Brussels,Apartment,,1400,rent,2,92,0,0,0,1,,0,0,https://immovlan.be/en/detail/apartment/for-rent/1000/brussels/vbd90640
Schaarbeek,Apartment,,1250,rent,1,60,0,0,0,0,0,0,0,https://immovlan.be/en/detail/apartment/for-rent/1030/schaarbeek/vbd90617
Bonheiden,Apartment,,1150,rent,2,101,0,0,0,1,12,0,0,https://immovlan.be/en/detail/apartment/for-rent/2820/bonheiden/rbv34488
Anderlecht,Apartment,,90000,public,3,0,0,0,0,0,0,0,0,https://immovlan.be/en/detail/apartment/in-public-sale/1070/anderlecht/vbd90582
Brussels,Apartment,,2100,rent,2,141,0,0,0,1,20,0,0,https://immovlan.be/en/detail/apartment/for-rent/1000/brussels/vbd90591
Oudergem,Apartment,,2500,rent,3,154,0,0,0,1,16,0,0,https://immovlan.be/en/detail/apartment/for-rent/1160/oudergem/vbd90581
Seneffe,Residence,,1250,rent,3,140,0,0,0,1,15,1,350,https://immovlan.be/en/detail/residence/for-rent/7180/seneffe/vbd90594
Arquennes,Residence,,900,rent,2,0,0,0,0,0,0,1,,https://immovlan.be/en/detail/residence/for-rent/7181/arquennes/vbd90607
Mouscron,Apartment,,735,rent,1,76,0,0,0,0,0,0,0,https://immovlan.be/en/detail/apartment/for-rent/7700/mouscron/vbd90605
Elsene,Apartment,,1590,rent,2,111,0,0,0,1,11,0,0,https://immovlan.be/en/detail/apartment/for-rent/1050/elsene/vbd90574
Elsene,Apartment,,1350,rent,2,96,0,0,0,0,0,0,0,https://immovlan.be/en/detail/apartment/for-rent/1050/elsene/vbd90578
Ham-sur-Heure-Nalinnes,Apartment,,750,rent,1,70,0,0,0,0,0,0,0,https://immovlan.be/en/detail/apartment/for-rent/6120/ham-sur-heure-nalinnes/vbd90592
Namur,Apartment,,655,rent,1,65,0,0,0,0,0,0,0,https://immovlan.be/en/detail/apartment/for-rent/5000/namur/vbd90613
Tournai,Apartment,,950,rent,3,99,0,0,0,1,,0,0,https://immovlan.be/en/detail/apartment/for-rent/7500/tournai/vbd90610
Braine-l'Alleud,Apartment,,2100,rent,3,170,0,0,0,1,24,0,0,https://immovlan.be/en/detail/apartment/for-rent/1420/braine-l-alleud/vbd90612
Liege,Studio,,620,rent,0,47,0,0,0,0,0,0,0,https://immovlan.be/en/detail/studio/for-rent/4000/liege/vbd90601
Sint-Lambrechts-Woluwe,Apartment,,1750,rent,2,96,0,0,0,1,5,0,0,https://immovlan.be/en/detail/apartment/for-rent/1200/sint-lambrechts-woluwe/vbd90580
Liege,Apartment,,950,rent,1,115,0,0,0,1,,0,0,https://immovlan.be/en/detail/apartment/for-rent/4000/liege/vbd90572
Antwerp,Studio,,650,rent,0,0,0,0,0,0,0,0,0,https://immovlan.be/en/detail/studio/for-rent/2060/antwerp/rbv34470
Oudsbergen,Residence,,900,rent,3,0,0,0,0,0,0,0,0,https://immovlan.be/en/detail/residence/for-rent/3670/oudsbergen/rbv34457
PHILIPPEVILLE,Apartment,,820,rent,2,114,0,0,0,0,0,1,,https://immovlan.be/en/detail/apartment/for-rent/5600/philippeville/vbd90522
Jette,Duplex,,1350,rent,3,103,0,0,0,1,4,0,0,https://immovlan.be/en/detail/duplex/for-rent/1090/jette/vbd90552
Grand-Halleux,Cottage,,900,rent,3,163,0,0,0,1,,1,780,https://immovlan.be/en/detail/cottage/for-rent/6698/grand-halleux/vbd90565
Antwerp,Apartment,,775,rent,1,50,0,0,0,0,0,0,0,https://immovlan.be/en/detail/apartment/for-rent/2050/antwerp/rbv34478
Heusden-Zolder,Apartment,,850,rent,2,86,0,0,0,1,8,0,0,https://immovlan.be/en/detail/apartment/for-rent/3550/heusden-zolder/rbv34462
Koekelare,Duplex,,795,rent,3,165,0,0,0,1,,0,0,https://immovlan.be/en/detail/duplex/for-rent/8680/koekelare/rbv34468
Watermaal-Bosvoorde,Residence,,1650,rent,3,115,0,0,0,1,25,1,102,https://immovlan.be/en/detail/residence/for-rent/1170/watermaal-bosvoorde/vbd90567
Sint-Pieters-Woluwe,Residence,,2850,rent,4,220,0,0,0,1,15,1,200,https://immovlan.be/en/detail/residence/for-rent/1150/sint-pieters-woluwe/vbd90563
Woluwe-saint-Etienne,Studio,,750,rent,0,35,1,1,0,0,0,0,0,https://immovlan.be/en/detail/studio/for-rent/1932/woluwe-saint-etienne/vbd90527
Nivelles,Apartment,,995,rent,2,90,0,0,0,1,8,0,0,https://immovlan.be/en/detail/apartment/for-rent/1400/nivelles/rbv34482
Antwerp,Apartment,,1200,rent,2,90,0,0,0,1,15,0,0,https://immovlan.be/en/detail/apartment/for-rent/2000/antwerp/rbv34477
Andenne,Apartment,,875,rent,2,125,0,0,0,1,16,1,,https://immovlan.be/en/detail/apartment/for-rent/5300/andenne/vbd90523
Louvain-la-Neuve,Ground,,940,for,1,68,0,0,0,1,12,0,0,https://immovlan.be/en/detail/ground-floor/for-rent/1348/louvain-la-neuve/vwd16734
Brussels,Apartment,,1300,rent,2,95,0,0,0,1,6,0,0,https://immovlan.be/en/detail/apartment/for-rent/1000/brussels/vbd90528
Schaarbeek,Apartment,,870,rent,1,70,0,0,0,0,0,0,0,https://immovlan.be/en/detail/apartment/for-rent/1030/schaarbeek/vbd90515
Antwerp,Apartment,,1200,rent,1,53,0,0,0,0,0,0,0,https://immovlan.be/en/detail/apartment/for-rent/2000/antwerp/rbv34435
Schaarbeek,Apartment,,1150,rent,1,80,0,0,1,0,0,1,,https://immovlan.be/en/detail/apartment/for-rent/1030/schaarbeek/rwc41894
Brussels,Apartment,,1500,rent,2,105,0,0,0,1,3,1,1,https://immovlan.be/en/detail/apartment/for-rent/1000/brussels/vbd90436
Antwerp,Apartment,,1500,rent,1,72,0,0,0,0,0,0,0,https://immovlan.be/en/detail/apartment/for-rent/2000/antwerp/rbv34434
Gentbrugge,Residence,,1500,rent,2,163,0,0,0,1,,1,200,https://immovlan.be/en/detail/residence/for-rent/9050/gentbrugge/rbv34413
Lier,Apartment,,975,rent,2,104,0,0,0,1,,0,0,https://immovlan.be/en/detail/apartment/for-rent/2500/lier/rbv34440
Louvain-la-Neuve,Duplex,,1190,rent,2,105,0,0,0,1,12,0,0,https://immovlan.be/en/detail/duplex/for-rent/1348/louvain-la-neuve/vbd90452
Jette,Apartment,,1050,rent,2,95,0,0,0,0,0,0,0,https://immovlan.be/en/detail/apartment/for-rent/1090/jette/vbd90453
Ieper,Apartment,,800,rent,2,110,0,0,0,1,9,0,0,https://immovlan.be/en/detail/apartment/for-rent/8900/ieper/rbv34411
Antwerp,Apartment,,900,rent,1,67,0,0,0,1,8,0,0,https://immovlan.be/en/detail/apartment/for-rent/2018/antwerp/rbv34437
Zoerle-Parwijs,Residence,,1400,rent,3,0,0,0,0,0,0,1,,https://immovlan.be/en/detail/residence/for-rent/2260/zoerle-parwijs/rbv34442
Saint-Servais,Duplex,,900,rent,2,60,0,0,0,1,5,0,0,https://immovlan.be/en/detail/duplex/for-rent/5002/saint-servais/vbd90519
Aiseau-Presles,Apartment,,680,rent,1,117,0,0,0,1,,0,0,https://immovlan.be/en/detail/apartment/for-rent/6250/aiseau-presles/vbd90514
Mouscron,Apartment,,890,rent,2,89,0,0,0,1,12,0,0,https://immovlan.be/en/detail/apartment/for-rent/7700/mouscron/vbd90506
Tertre,Apartment,,800,rent,2,90,0,0,0,1,6,0,0,https://immovlan.be/en/detail/apartment/for-rent/7333/tertre/vbd90495
Waremme,Mixed,,70000,in,0,0,0,0,0,0,0,0,0,https://immovlan.be/en/detail/mixed-building/in-public-sale/4300/waremme/vbd90368
Sint-Lambrechts-Woluwe,Ground,,1150,for,1,100,0,0,0,1,20,1,100,https://immovlan.be/en/detail/ground-floor/for-rent/1200/sint-lambrechts-woluwe/vwd16730
Kraainem,Residence,,3000,rent,5,250,0,0,1,1,20,1,450,https://immovlan.be/en/detail/residence/for-rent/1950/kraainem/vbd90418
Schaarbeek,Apartment,,1090,rent,2,70,0,0,0,1,,0,0,https://immovlan.be/en/detail/apartment/for-rent/1030/schaarbeek/rwc41890
Nivelles,Apartment,,850,rent,1,50,0,0,0,1,,0,0,https://immovlan.be/en/detail/apartment/for-rent/1400/nivelles/vbd90417
Brussels,Studio,,880,rent,0,55,0,0,0,1,6,0,0,https://immovlan.be/en/detail/studio/for-rent/1000/brussels/vbd90374
Brussels,Apartment,,1350,rent,2,120,0,0,0,0,0,0,0,https://immovlan.be/en/detail/apartment/for-rent/1000/brussels/vbd90382
Sint-Lambrechts-Woluwe,Apartment,,1100,rent,1,54,0,0,0,1,20,1,,https://immovlan.be/en/detail/apartment/for-rent/1200/sint-lambrechts-woluwe/vbd90421
Namur,Residence,,1450,rent,5,163,0,0,0,1,20,1,375,https://immovlan.be/en/detail/residence/for-rent/5000/namur/vbd90380
Ukkel,Apartment,,,rent,2,82,0,0,0,1,7,1,,https://immovlan.be/en/detail/apartment/for-rent/1180/ukkel/vbd90408
Ninove,Apartment,,585,rent,1,75,0,0,0,0,0,0,0,https://immovlan.be/en/detail/apartment/for-rent/9400/ninove/rwc41891
Elsene,Apartment,,1250,rent,1,65,1,1,0,0,0,0,0,https://immovlan.be/en/detail/apartment/for-rent/1050/elsene/vbd90412
Durbuy,Apartment,,800,rent,2,90,0,0,0,1,,0,0,https://immovlan.be/en/detail/apartment/for-rent/6940/durbuy/vbd90372
Dikkebus,Residence,,850,rent,5,170,0,0,0,1,,1,,https://immovlan.be/en/detail/residence/for-rent/8900/dikkebus/rbv34410
Malèves-Sainte-Marie-Was,Apartment,,990,rent,1,70,0,0,0,1,,1,,https://immovlan.be/en/detail/apartment/for-rent/1360/maleves-sainte-marie-was/vbd90381
Neupré,Residence,,1120,rent,4,125,0,0,0,1,20,1,350,https://immovlan.be/en/detail/residence/for-rent/4120/neupre/vbd90403
Mons,Apartment,,750,rent,2,87,0,0,0,1,,0,0,https://immovlan.be/en/detail/apartment/for-rent/7000/mons/vbd90363
Schaarbeek,Apartment,,1090,rent,1,70,0,0,0,1,,0,0,https://immovlan.be/en/detail/apartment/for-rent/1030/schaarbeek/rwc41889
Marcinelle,Apartment,,650,rent,2,110,0,0,0,1,,0,0,https://immovlan.be/en/detail/apartment/for-rent/6001/marcinelle/vbd90297
Neufvilles,Residence,,1100,rent,3,160,0,0,0,1,,1,,https://immovlan.be/en/detail/residence/for-rent/7063/neufvilles/vbd90281
Beloeil,Residence,,1000,rent,3,105,0,0,0,1,,1,,https://immovlan.be/en/detail/residence/for-rent/7970/beloeil/vbd90280
Sprimont,Apartment,,750,rent,1,100,0,0,0,0,0,0,0,https://immovlan.be/en/detail/apartment/for-rent/4140/sprimont/vwd16728
Elsene,Apartment,,2100,rent,3,171,0,0,0,1,10,1,100,https://immovlan.be/en/detail/apartment/for-rent/1050/elsene/vbd90364
Sint-Gillis,Ground,,2280,for,2,125,1,1,1,1,20,1,20,https://immovlan.be/en/detail/ground-floor/for-rent/1060/sint-gillis/vbd90287
Elsene,Ground,,1600,for,1,50,0,0,0,0,0,0,0,https://immovlan.be/en/detail/ground-floor/for-rent/1050/elsene/vwd16727
Ukkel,Residence,,3000,rent,5,237,0,0,0,1,10,1,90,https://immovlan.be/en/detail/residence/for-rent/1180/ukkel/vbd90277
Sint-Lambrechts-Woluwe,Studio,,935,rent,0,38,0,0,0,1,5,0,0,https://immovlan.be/en/detail/studio/for-rent/1200/sint-lambrechts-woluwe/vbd90315
Ukkel,Apartment,,1550,rent,2,81,1,1,0,1,10,0,0,https://immovlan.be/en/detail/apartment/for-rent/1180/ukkel/vbd90362
Etterbeek,Studio,,1160,rent,1,40,1,1,0,1,3,0,0,https://immovlan.be/en/detail/studio/for-rent/1040/etterbeek/vbd90357
Mons,Apartment,,530,rent,1,46,0,0,0,0,0,0,0,https://immovlan.be/en/detail/apartment/for-rent/7000/mons/vbd90278
Waterloo,Residence,,2450,rent,3,163,1,1,0,1,3,1,130,https://immovlan.be/en/detail/residence/for-rent/1410/waterloo/vbd90360
Evergem,Residence,,1300,rent,3,210,0,0,0,1,,1,,https://immovlan.be/en/detail/residence/for-rent/9940/evergem/rwc41887
Antwerp,Apartment,,3995,rent,0,0,1,1,0,1,,0,0,https://immovlan.be/en/detail/apartment/for-rent/2000/antwerp/vbd90236
Bierghes,Residence,,1000,rent,3,140,0,0,0,0,0,0,0,https://immovlan.be/en/detail/residence/for-rent/1430/bierghes/vbd90263
Tongerlo,Residence,,1350,rent,3,147,0,0,0,0,0,1,,https://immovlan.be/en/detail/residence/for-rent/2260/tongerlo/rbv34349
Nivelles,Apartment,,775,rent,1,70,0,0,0,1,3,0,0,https://immovlan.be/en/detail/apartment/for-rent/1400/nivelles/vbd90265
Paliseul,Residence,,875,rent,2,100,0,0,0,1,30,0,0,https://immovlan.be/en/detail/residence/for-rent/6850/paliseul/vbd90246
Sint-Gillis,Apartment,,2560,rent,0,0,1,1,0,0,0,0,0,https://immovlan.be/en/detail/apartment/for-rent/1060/sint-gillis/vbd90233
Ukkel,Apartment,,1150,rent,1,50,0,0,0,0,0,0,0,https://immovlan.be/en/detail/apartment/for-rent/1180/ukkel/vbd90275
Andenne,Residence,,995,rent,2,0,0,0,0,0,0,1,,https://immovlan.be/en/detail/residence/for-rent/5300/andenne/vbd90244
Antwerp,Apartment,,1950,rent,0,0,1,1,0,0,0,0,0,https://immovlan.be/en/detail/apartment/for-rent/2000/antwerp/vbd90234
Schaarbeek,Duplex,,1260,rent,1,70,1,1,0,0,0,0,0,https://immovlan.be/en/detail/duplex/for-rent/1030/schaarbeek/vbd90273
Barvaux-sur-Ourthe,Residence,,120000,public,3,0,0,0,0,0,0,1,,https://immovlan.be/en/detail/residence/in-public-sale/6940/barvaux-sur-ourthe/vbd90258
Leuven,Apartment,,900,rent,1,58,0,0,0,0,0,0,0,https://immovlan.be/en/detail/apartment/for-rent/3000/leuven/rbv34344
Etterbeek,Duplex,,1550,rent,2,108,1,1,0,1,,1,,https://immovlan.be/en/detail/duplex/for-rent/1040/etterbeek/rbv34362
Vorst,Apartment,,850,rent,0,0,1,1,0,0,0,0,0,https://immovlan.be/en/detail/apartment/for-rent/1190/vorst/vbd90232
Namur,Duplex,,895,rent,2,105,0,0,0,0,0,0,0,https://immovlan.be/en/detail/duplex/for-rent/5000/namur/vbd90261
Bertrix,Apartment,,850,rent,2,80,0,0,0,1,8,0,0,https://immovlan.be/en/detail/apartment/for-rent/6880/bertrix/vbd90247
Tournai,Studio,,550,rent,0,47,0,0,0,0,0,0,0,https://immovlan.be/en/detail/studio/for-rent/7500/tournai/vbd90218
Ukkel,Penthouse,,3700,rent,3,220,0,0,1,1,60,0,0,https://immovlan.be/en/detail/penthouse/for-rent/1180/ukkel/vbd90221
Sint-Lambrechts-Woluwe,Apartment,,1150,rent,1,50,0,0,0,0,0,0,0,https://immovlan.be/en/detail/apartment/for-rent/1200/sint-lambrechts-woluwe/vbd90207
Hoevenen,Apartment,,1075,rent,2,86,0,0,0,0,0,0,0,https://immovlan.be/en/detail/apartment/for-rent/2940/hoevenen/rbv33978
Tournai,Studio,,525,rent,0,32,0,0,0,0,0,0,0,https://immovlan.be/en/detail/studio/for-rent/7500/tournai/vbd90217
Turnhout,Apartment,,825,rent,2,76,0,0,0,1,,0,0,https://immovlan.be/en/detail/apartment/for-rent/2300/turnhout/rbv34069
Brussels,Apartment,,1050,rent,1,40,0,0,0,1,,0,0,https://immovlan.be/en/detail/apartment/for-rent/1000/brussels/vbd90212
Brussels,Apartment,,1500,rent,2,89,0,0,0,0,0,0,0,https://immovlan.be/en/detail/apartment/for-rent/1000/brussels/vbd90223
Antwerp,Apartment,,1950,rent,0,0,1,1,0,0,0,0,0,https://immovlan.be/en/detail/apartment/for-rent/2000/antwerp/vbd90231
Dottignies,Apartment,,720,rent,2,0,0,0,0,0,0,0,0,https://immovlan.be/en/detail/apartment/for-rent/7711/dottignies/vbd90202
Turnhout,Duplex,,930,rent,2,102,0,0,0,1,,0,0,https://immovlan.be/en/detail/duplex/for-rent/2300/turnhout/rbv34068
Schaarbeek,Apartment,,1150,rent,0,0,1,1,0,0,0,0,0,https://immovlan.be/en/detail/apartment/for-rent/1030/schaarbeek/vbd90226
Lille,Apartment,,860,rent,2,88,0,0,0,1,4,0,0,https://immovlan.be/en/detail/apartment/for-rent/2275/lille/rbv34177
Lievegem,Residence,,1700,rent,4,200,0,0,0,1,,1,,https://immovlan.be/en/detail/residence/for-rent/9920/lievegem/rbv33931
Aalst,Apartment,,765,rent,2,74,0,0,0,0,0,0,0,https://immovlan.be/en/detail/apartment/for-rent/9300/aalst/rbv33875
Brussels,Apartment,,1050,rent,0,0,1,1,0,0,0,0,0,https://immovlan.be/en/detail/apartment/for-rent/1000/brussels/vbd90228
Ukkel,Apartment,,860,rent,1,39,0,0,0,0,0,0,0,https://immovlan.be/en/detail/apartment/for-rent/1180/ukkel/vbd90176
Elsene,Apartment,,1200,rent,2,85,0,0,0,0,0,1,,https://immovlan.be/en/detail/apartment/for-rent/1050/elsene/vbd90152
Ukkel,Apartment,,1750,rent,2,95,0,0,0,1,,0,0,https://immovlan.be/en/detail/apartment/for-rent/1180/ukkel/vbd90145
Liege,Apartment,,850,rent,2,63,0,0,0,0,0,0,0,https://immovlan.be/en/detail/apartment/for-rent/4000/liege/vbd90146
Antwerp,Apartment,,900,rent,1,67,0,0,0,1,8,0,0,https://immovlan.be/en/detail/apartment/for-rent/2018/antwerp/vbd90134
Woesten,Residence,,700,rent,3,122,0,0,0,0,0,1,,https://immovlan.be/en/detail/residence/for-rent/8640/woesten/rbv33856
Paal,Residence,,1100,rent,3,137,0,0,0,1,,1,,https://immovlan.be/en/detail/residence/for-rent/3583/paal/rbv33827
Waterloo,Residence,,1750,rent,3,177,0,0,0,1,30,1,120,https://immovlan.be/en/detail/residence/for-rent/1410/waterloo/vbd90153
Oudergem,Apartment,,1800,rent,2,93,0,0,0,1,,0,0,https://immovlan.be/en/detail/apartment/for-rent/1160/oudergem/vbd90150
Laken,Apartment,,1600,rent,1,150,0,0,0,1,,0,0,https://immovlan.be/en/detail/apartment/for-rent/1020/laken/vbd90173
Etterbeek,Apartment,,1390,rent,1,90,0,0,0,1,4,0,0,https://immovlan.be/en/detail/apartment/for-rent/1040/etterbeek/vbd90190
Ath,Apartment,,800,rent,2,77,0,0,0,1,,0,0,https://immovlan.be/en/detail/apartment/for-rent/7800/ath/vbd90178
Brussels,Studio,,980,rent,1,41,1,1,0,0,0,0,0,https://immovlan.be/en/detail/studio/for-rent/1000/brussels/vbd90171
Mons,Studio,,530,rent,0,40,0,0,0,1,,0,0,https://immovlan.be/en/detail/studio/for-rent/7000/mons/vbd90155
Antwerp,Apartment,,1100,rent,2,79,0,0,0,1,16,0,0,https://immovlan.be/en/detail/apartment/for-rent/2018/antwerp/vbd90133
Beez,Apartment,,880,rent,2,85,0,0,0,1,,1,,https://immovlan.be/en/detail/apartment/for-rent/5000/beez/vbd90195
Ukkel,Studio,,850,rent,0,40,0,0,0,1,6,0,0,https://immovlan.be/en/detail/studio/for-rent/1180/ukkel/vbd89992
Saint-Nicolas,Residence,,45000,public,2,102,0,0,0,0,0,1,120,https://immovlan.be/en/detail/residence/in-public-sale/4420/saint-nicolas/vbd89958
Brussels,Apartment,,1975,rent,2,130,1,1,0,0,0,0,0,https://immovlan.be/en/detail/apartment/for-rent/1000/brussels/vbd90011
Elsene,Apartment,,259000,public,2,0,0,0,0,1,,0,0,https://immovlan.be/en/detail/apartment/in-public-sale/1050/elsene/vbd89970
Sint-Pieters-Woluwe,Apartment,,1750,rent,3,115,0,0,0,1,8,0,0,https://immovlan.be/en/detail/apartment/for-rent/1150/sint-pieters-woluwe/vbd90109
Ukkel,Villa,,3000,rent,4,250,0,0,1,1,24,0,0,https://immovlan.be/en/detail/villa/for-rent/1180/ukkel/vbd90108
Celles,Residence,,950,rent,2,72,0,0,0,0,0,0,0,https://immovlan.be/en/detail/residence/for-rent/5561/celles/vbd90002
Elsene,Residence,,3200,rent,4,195,0,0,0,1,11,0,0,https://immovlan.be/en/detail/residence/for-rent/1050/elsene/vwd16709
Saint-Nicolas,Residence,,20000,public,2,60,0,0,0,0,0,1,,https://immovlan.be/en/detail/residence/in-public-sale/4420/saint-nicolas/vbd89957
Elsene,Apartment,,1950,rent,3,110,1,1,0,1,30,1,,https://immovlan.be/en/detail/apartment/for-rent/1050/elsene/vbd90009
Tournai,Studio,,550,rent,0,28,0,0,0,0,0,0,0,https://immovlan.be/en/detail/studio/for-rent/7500/tournai/vbd89963
Brussels,Duplex,,1250,rent,2,92,0,0,0,0,0,0,0,https://immovlan.be/en/detail/duplex/for-rent/1000/brussels/vbd89997
Sint-Pieters-Woluwe,Residence,,2250,rent,3,126,0,0,0,1,15,1,50,https://immovlan.be/en/detail/residence/for-rent/1150/sint-pieters-woluwe/vbd89964
Brussels,Apartment,,1975,rent,2,130,1,1,0,0,0,0,0,https://immovlan.be/en/detail/apartment/for-rent/1000/brussels/vbd90013
Liege,Apartment,,840,rent,2,96,0,0,0,1,,0,0,https://immovlan.be/en/detail/apartment/for-rent/4020/liege/vwd16711
Brussels,Apartment,,990,rent,1,55,0,0,0,0,0,0,0,https://immovlan.be/en/detail/apartment/for-rent/1000/brussels/vbd89998
Elsene,Apartment,,1400,rent,1,66,0,0,0,1,6,0,0,https://immovlan.be/en/detail/apartment/for-rent/1050/elsene/vbd89950
Elsene,Apartment,,1700,rent,2,90,0,0,0,0,0,0,0,https://immovlan.be/en/detail/apartment/for-rent/1050/elsene/vbd89949
Sint-Gillis,Apartment,,2050,rent,2,131,0,0,0,0,0,0,0,https://immovlan.be/en/detail/apartment/for-rent/1060/sint-gillis/vbd89952
Elsene,Apartment,,1650,rent,2,90,0,0,0,1,,0,0,https://immovlan.be/en/detail/apartment/for-rent/1050/elsene/vbd89939
Antwerp,Apartment,,875,rent,1,55,0,0,0,1,5,0,0,https://immovlan.be/en/detail/apartment/for-rent/2050/antwerp/rbv33809
Durbuy,Apartment,,600,rent,1,66,0,0,0,1,,1,,https://immovlan.be/en/detail/apartment/for-rent/6940/durbuy/vbd89940
Saint-Marc,Residence,,65000,public,3,0,0,0,0,1,,1,,https://immovlan.be/en/detail/residence/in-public-sale/5003/saint-marc/vbd89928
Sint-Gillis,Apartment,,1600,rent,2,88,0,0,0,1,,0,0,https://immovlan.be/en/detail/apartment/for-rent/1060/sint-gillis/vbd89945
Zonnebeke,Residence,,700,rent,2,116,0,0,0,1,,1,,https://immovlan.be/en/detail/residence/for-rent/8980/zonnebeke/rbv33804
Brussels,Apartment,,1300,rent,1,81,0,0,0,1,,0,0,https://immovlan.be/en/detail/apartment/for-rent/1000/brussels/vbd89933
Brussels,Apartment,,1300,rent,2,81,0,0,0,1,,0,0,https://immovlan.be/en/detail/apartment/for-rent/1000/brussels/vbd89932
Elsene,Apartment,,1600,rent,2,89,0,0,0,0,0,0,0,https://immovlan.be/en/detail/apartment/for-rent/1050/elsene/vbd89947
Sint-Gillis,Apartment,,1600,rent,2,88,1,1,0,1,,0,0,https://immovlan.be/en/detail/apartment/for-rent/1060/sint-gillis/vbd89948
Elsene,Apartment,,1150,rent,1,65,0,0,0,0,0,0,0,https://immovlan.be/en/detail/apartment/for-rent/1050/elsene/vbd89946
Liege,Apartment,,,rent,1,60,0,0,0,1,,0,0,https://immovlan.be/en/detail/apartment/for-rent/4000/liege/vbd89934
Mouscron,Apartment,,900,rent,2,0,0,0,0,1,1,0,0,https://immovlan.be/en/detail/apartment/for-rent/7700/mouscron/vbd89920
Péruwelz,Apartment,,470,rent,1,47,0,0,0,1,6,0,0,https://immovlan.be/en/detail/apartment/for-rent/7600/peruwelz/vbd89889
Sint-Andries,Apartment,,750,rent,2,88,0,0,0,1,,0,0,https://immovlan.be/en/detail/apartment/for-rent/8200/sint-andries/rbv33460
Tilff,Apartment,,900,rent,2,79,0,0,0,0,0,0,0,https://immovlan.be/en/detail/apartment/for-rent/4130/tilff/vbd89887
Péruwelz,Apartment,,550,rent,1,56,0,0,0,0,0,0,0,https://immovlan.be/en/detail/apartment/for-rent/7600/peruwelz/vbd89888
Elsene,Apartment,,1650,rent,2,90,0,0,0,1,,0,0,https://immovlan.be/en/detail/apartment/for-rent/1050/elsene/vbd89852
Mechelen,Apartment,,1400,rent,3,118,0,0,0,1,10,1,,https://immovlan.be/en/detail/apartment/for-rent/2800/mechelen/rbv33749
Turnhout,Studio,,750,rent,1,49,0,0,0,0,0,1,,https://immovlan.be/en/detail/studio/for-rent/2300/turnhout/rbv33736
Elsene,Apartment,,2150,rent,3,130,0,0,0,1,6,0,0,https://immovlan.be/en/detail/apartment/for-rent/1050/elsene/vbd89878
