locality,property_type,subtype,price,type_of_sale,nb_rooms,living_area,kitchen_equipped,furnished,open_fire,terrace,terrace_area,garden,garden_area,url
Lesve,Residence,,770,rent,2,129,0,0,0,1,41,0,0,https://immovlan.be/en/detail/residence/for-rent/5170/lesve/vbd82850
Courcelles,Apartment,,650,rent,1,0,0,0,0,0,0,0,0,https://immovlan.be/en/detail/apartment/for-rent/6180/courcelles/vbd86663
Tervuren,Apartment,,1890,rent,2,107,0,0,0,1,16,0,0,https://immovlan.be/en/detail/apartment/for-rent/3080/tervuren/rbv35513
Oudergem,Apartment,,1500,rent,2,145,0,0,0,1,12,0,0,https://immovlan.be/en/detail/apartment/for-rent/1160/oudergem/vbd86796
Etterbeek,Apartment,,1600,rent,1,70,0,0,0,1,8,1,100,https://immovlan.be/en/detail/apartment/for-rent/1040/etterbeek/vbd91283
Kraainem,Villa,,3900,rent,5,380,0,0,1,1,,1,1800,https://immovlan.be/en/detail/villa/for-rent/1950/kraainem/vbd91261
Antwerp,Apartment,,1080,rent,2,76,0,0,0,1,5,0,0,https://immovlan.be/en/detail/apartment/for-rent/2018/antwerp/rbv35251
Gembes,Ground,,575,for,2,73,0,0,0,1,20,0,0,https://immovlan.be/en/detail/ground-floor/for-rent/6929/gembes/vbd91254
Oostende,Apartment,,750,rent,0,0,0,0,0,0,0,0,0,https://immovlan.be/en/detail/apartment/for-rent/8400/oostende/rbv35506
Braine-l'Alleud,Apartment,,1275,rent,2,100,0,0,0,1,10,0,0,https://immovlan.be/en/detail/apartment/for-rent/1420/braine-l-alleud/vbd91280
Oudergem,Apartment,,900,rent,1,40,1,1,0,0,0,1,,https://immovlan.be/en/detail/apartment/for-rent/1160/oudergem/vbd91258
Elsene,Apartment,,1450,rent,0,75,0,0,0,1,,0,0,https://immovlan.be/en/detail/apartment/for-rent/1050/elsene/vbd91257
Antwerp,Apartment,,895,rent,0,51,0,0,0,1,7,0,0,https://immovlan.be/en/detail/apartment/for-rent/2000/antwerp/rbv35507
Neder-Over-Heembeek,Apartment,,1190,rent,2,60,0,0,0,0,0,0,0,https://immovlan.be/en/detail/apartment/for-rent/1120/neder-over-heembeek/vbd91278
Antwerp,Apartment,,950,rent,2,90,0,0,0,1,3,0,0,https://immovlan.be/en/detail/apartment/for-rent/2000/antwerp/rbv35508
Brussels,Apartment,,850,rent,0,0,1,1,0,0,0,0,0,https://immovlan.be/en/detail/apartment/for-rent/1000/brussels/vbd91263
Antwerp,Apartment,,2200,rent,0,0,1,1,0,0,0,0,0,https://immovlan.be/en/detail/apartment/for-rent/2000/antwerp/vbd91264
Brussels,Apartment,,1500,rent,2,97,1,1,0,1,,0,0,https://immovlan.be/en/detail/apartment/for-rent/1000/brussels/vbd91259
Sint-Lambrechts-Woluwe,Apartment,,970,rent,1,0,1,1,0,0,0,0,0,https://immovlan.be/en/detail/apartment/for-rent/1200/sint-lambrechts-woluwe/vbd91273
Sint-Niklaas,Apartment,,850,rent,2,89,0,0,0,1,13,0,0,https://immovlan.be/en/detail/apartment/for-rent/9100/sint-niklaas/rbv35248
Brussels,Apartment,,1325,rent,2,91,0,0,0,1,13,0,0,https://immovlan.be/en/detail/apartment/for-rent/1000/brussels/vbd91279
Jambes,Apartment,,910,rent,2,80,0,0,0,0,0,0,0,https://immovlan.be/en/detail/apartment/for-rent/5100/jambes/vwd16750
Braine-le-Château,Apartment,,900,rent,2,90,0,0,0,1,,0,0,https://immovlan.be/en/detail/apartment/for-rent/1440/braine-le-chateau/vbd91239
Sint-Gillis,Apartment,,2600,rent,3,140,0,0,1,1,5,0,0,https://immovlan.be/en/detail/apartment/for-rent/1060/sint-gillis/vbd91218
Elsene,Apartment,,1350,rent,1,71,0,0,0,0,0,0,0,https://immovlan.be/en/detail/apartment/for-rent/1050/elsene/vbd91212
Oostende,Studio,,700,rent,0,0,1,1,0,0,0,0,0,https://immovlan.be/en/detail/studio/for-rent/8400/oostende/rbv35214
Ukkel,Villa,,2950,rent,4,219,0,0,0,1,17,1,200,https://immovlan.be/en/detail/villa/for-rent/1180/ukkel/vbd91221
Elsene,Apartment,,2000,rent,2,124,0,0,1,0,0,0,0,https://immovlan.be/en/detail/apartment/for-rent/1050/elsene/vbd91213
Sint-Gillis,Apartment,,2400,rent,2,177,0,0,0,1,15,0,0,https://immovlan.be/en/detail/apartment/for-rent/1060/sint-gillis/vbd91219
Berchem,Apartment,,795,rent,1,57,0,0,0,0,0,0,0,https://immovlan.be/en/detail/apartment/for-rent/2600/berchem/rbv35212
Schaarbeek,Apartment,,1200,rent,2,90,0,0,0,0,0,0,0,https://immovlan.be/en/detail/apartment/for-rent/1030/schaarbeek/vbd91242
Elsene,Apartment,,4500,rent,3,365,0,0,0,1,80,0,0,https://immovlan.be/en/detail/apartment/for-rent/1050/elsene/vbd91216
Wauthier-Braine,Apartment,,930,rent,2,75,0,0,0,0,0,0,0,https://immovlan.be/en/detail/apartment/for-rent/1440/wauthier-braine/vbd91240
Tournai,Penthouse,,840,rent,2,92,0,0,0,0,0,0,0,https://immovlan.be/en/detail/penthouse/for-rent/7500/tournai/vbd91238
Elsene,Apartment,,2350,rent,2,150,0,0,0,1,5,0,0,https://immovlan.be/en/detail/apartment/for-rent/1050/elsene/vbd91222
Elsene,Apartment,,2000,rent,2,110,0,0,0,1,7,0,0,https://immovlan.be/en/detail/apartment/for-rent/1050/elsene/vbd91214
Gentbrugge,Apartment,,900,rent,1,79,0,0,0,1,13,0,0,https://immovlan.be/en/detail/apartment/for-rent/9050/gentbrugge/rbv35220
Ukkel,Villa,,4500,rent,6,450,0,0,0,1,,1,,https://immovlan.be/en/detail/villa/for-rent/1180/ukkel/vbd91201
Andenne,Apartment,,715,rent,1,60,0,0,0,1,,0,0,https://immovlan.be/en/detail/apartment/for-rent/5300/andenne/vbd91208
Merchtem,Apartment,,1250,rent,2,83,1,1,0,1,5,0,0,https://immovlan.be/en/detail/apartment/for-rent/1785/merchtem/rbv35166
Ben-Ahin,Apartment,,850,rent,2,100,0,0,0,1,3,0,0,https://immovlan.be/en/detail/apartment/for-rent/4500/ben-ahin/vbd91189
Leuven,Apartment,,1440,rent,3,141,0,0,0,1,,0,0,https://immovlan.be/en/detail/apartment/for-rent/3000/leuven/rbv35154
Retinne,Apartment,,650,rent,1,80,0,0,0,0,0,0,0,https://immovlan.be/en/detail/apartment/for-rent/4621/retinne/vbd91194
Waterloo,Residence,,2450,rent,3,163,1,1,0,1,11,1,235,https://immovlan.be/en/detail/residence/for-rent/1410/waterloo/vbd91177
Waterloo,Residence,,2450,rent,4,200,0,0,0,1,30,1,565,https://immovlan.be/en/detail/residence/for-rent/1410/waterloo/vbd91175
Brussels,Duplex,,2550,rent,2,89,1,1,0,1,6,0,0,https://immovlan.be/en/detail/duplex/for-rent/1000/brussels/vbd91200
Leuven,Residence,,1380,rent,3,111,0,0,0,0,0,1,,https://immovlan.be/en/detail/residence/for-rent/3000/leuven/rbv35155
Elsene,Penthouse,,2000,rent,2,111,1,1,0,1,22,1,,https://immovlan.be/en/detail/penthouse/for-rent/1050/elsene/vbd91186
Andenne,Apartment,,710,rent,2,95,0,0,0,0,0,0,0,https://immovlan.be/en/detail/apartment/for-rent/5300/andenne/vbd91196
Ukkel,Studio,,875,rent,0,42,0,0,0,1,,1,,https://immovlan.be/en/detail/studio/for-rent/1180/ukkel/vbd91199
Brussels,Apartment,,1550,rent,1,71,1,1,0,0,0,0,0,https://immovlan.be/en/detail/apartment/for-rent/1000/brussels/vbd91202
Jodoigne,Apartment,,950,rent,2,80,0,0,0,1,6,0,0,https://immovlan.be/en/detail/apartment/for-rent/1370/jodoigne/vbd91207
