locality,property_type,subtype,price,type_of_sale,nb_rooms,living_area,kitchen_equipped,furnished,open_fire,terrace,terrace_area,garden,garden_area,url
Lesve,Residence,,770,rent,2,129,0,0,0,1,41,0,0,https://immovlan.be/en/detail/residence/for-rent/5170/lesve/vbd82850
Sint-Gillis,Triplex,,2500,rent,3,120,0,0,0,1,25,0,0,https://immovlan.be/en/detail/triplex/for-rent/1060/sint-gillis/vbd86949
Elsene,Studio,,750,rent,0,28,0,0,0,0,0,0,0,https://immovlan.be/en/detail/studio/for-rent/1050/elsene/vbd86391
Brussels,Duplex,,2500,rent,3,100,0,0,0,0,0,0,0,https://immovlan.be/en/detail/duplex/for-rent/1000/brussels/vbd86919
Diksmuide,Apartment,,875,rent,2,0,0,0,0,1,,0,0,https://immovlan.be/en/detail/apartment/for-rent/8600/diksmuide/rbv24787
Namur,Residence,,1250,rent,4,143,0,0,0,1,,1,,https://immovlan.be/en/detail/residence/for-rent/5000/namur/vbd91131
Antwerp,Apartment,,900,rent,2,91,0,0,0,0,0,0,0,https://immovlan.be/en/detail/apartment/for-rent/2020/antwerp/rbv35117
Brussels,Apartment,,1250,rent,2,72,0,0,0,1,8,0,0,https://immovlan.be/en/detail/apartment/for-rent/1000/brussels/vbd91021
Mont-Saint-Guibert,Apartment,,950,rent,2,83,0,0,0,1,6,0,0,https://immovlan.be/en/detail/apartment/for-rent/1435/mont-saint-guibert/vbd91029
Antwerp,Apartment,,1220,rent,2,109,0,0,0,1,8,0,0,https://immovlan.be/en/detail/apartment/for-rent/2018/antwerp/rbv35121
Antwerp,Apartment,,795,rent,1,60,0,0,0,0,0,0,0,https://immovlan.be/en/detail/apartment/for-rent/2018/antwerp/rbv35115
Antwerp,Apartment,,820,rent,1,89,0,0,0,0,0,0,0,https://immovlan.be/en/detail/apartment/for-rent/2018/antwerp/rbv35120
Namur,Apartment,,950,rent,2,90,0,0,0,1,,0,0,https://immovlan.be/en/detail/apartment/for-rent/5000/namur/vbd91135
Ukkel,Residence,,4900,rent,5,359,0,0,0,1,53,1,110,https://immovlan.be/en/detail/residence/for-rent/1180/ukkel/vbd91017
Elsene,Apartment,,2100,rent,2,141,0,0,0,1,20,0,0,https://immovlan.be/en/detail/apartment/for-rent/1050/elsene/vbd91019
Sint-Jans-Molenbeek,Apartment,,1350,rent,2,102,0,0,0,1,7,0,0,https://immovlan.be/en/detail/apartment/for-rent/1080/sint-jans-molenbeek/vbd91062
Mons,Apartment,,1050,rent,2,113,0,0,0,0,0,0,0,https://immovlan.be/en/detail/apartment/for-rent/7000/mons/vbd91037
Antwerp,Studio,,600,rent,1,52,0,0,0,1,6,0,0,https://immovlan.be/en/detail/studio/for-rent/2018/antwerp/rbv35119
Elsene,Residence,,4900,rent,5,359,0,0,0,1,53,1,110,https://immovlan.be/en/detail/residence/for-rent/1050/elsene/vbd91018
Oudergem,Studio,,820,rent,1,38,0,0,0,1,6,0,0,https://immovlan.be/en/detail/studio/for-rent/1160/oudergem/vbd91016
Andenne,Residence,,1250,rent,4,143,0,0,0,1,,1,,https://immovlan.be/en/detail/residence/for-rent/5300/andenne/vbd91132
Schaarbeek,Apartment,,1150,rent,1,77,0,0,0,1,4,0,0,https://immovlan.be/en/detail/apartment/for-rent/1030/schaarbeek/vbd90912
Courcelles,Residence,,1100,rent,2,100,0,0,0,1,23,0,0,https://immovlan.be/en/detail/residence/for-rent/6180/courcelles/vbd90954
Ukkel,Apartment,,2350,rent,3,135,1,1,0,1,15,0,0,https://immovlan.be/en/detail/apartment/for-rent/1180/ukkel/rbv35048
Oostende,Apartment,,3380,rent,2,59,1,1,0,0,0,0,0,https://immovlan.be/en/detail/apartment/for-rent/8400/oostende/rwc41907
Lier,Apartment,,700,rent,1,60,0,0,0,1,8,0,0,https://immovlan.be/en/detail/apartment/for-rent/2500/lier/rbv35046
Antwerp,Apartment,,1390,rent,3,148,0,0,0,1,11,0,0,https://immovlan.be/en/detail/apartment/for-rent/2060/antwerp/rbv35079
Tournai,Duplex,,520,rent,4,180,0,0,0,0,0,0,0,https://immovlan.be/en/detail/duplex/for-rent/7500/tournai/vbd90999
Brussels,Apartment,,2565,rent,1,45,1,1,0,0,0,0,0,https://immovlan.be/en/detail/apartment/for-rent/1000/brussels/rwc41908
Smetlede,Apartment,,790,rent,1,0,0,0,0,1,,0,0,https://immovlan.be/en/detail/apartment/for-rent/9340/smetlede/rbv35053
Brussels,Apartment,,4512,rent,1,40,1,1,0,0,0,0,0,https://immovlan.be/en/detail/apartment/for-rent/1000/brussels/rwc41910
Antwerp,Apartment,,950,rent,1,65,0,0,0,1,6,0,0,https://immovlan.be/en/detail/apartment/for-rent/2060/antwerp/rbv35080
Hensies,Apartment,,800,rent,2,0,0,0,0,1,,1,,https://immovlan.be/en/detail/apartment/for-rent/7350/hensies/vbd90913
Ukkel,Studio,,840,rent,1,28,0,0,0,0,0,0,0,https://immovlan.be/en/detail/studio/for-rent/1180/ukkel/vbd90991
Herentals,Apartment,,750,rent,2,104,0,0,0,0,0,0,0,https://immovlan.be/en/detail/apartment/for-rent/2200/herentals/rbv35088
Schaarbeek,Apartment,,875,rent,1,100,0,0,0,0,0,0,0,https://immovlan.be/en/detail/apartment/for-rent/1030/schaarbeek/vbd90901
Péruwelz,Apartment,,650,rent,1,67,0,0,0,1,,0,0,https://immovlan.be/en/detail/apartment/for-rent/7600/peruwelz/vbd91001
Etterbeek,Apartment,,1600,rent,2,112,0,0,0,1,5,0,0,https://immovlan.be/en/detail/apartment/for-rent/1040/etterbeek/vbd90885
Rebecq,Residence,,400000,public,8,0,0,0,0,0,0,0,0,https://immovlan.be/en/detail/residence/in-public-sale/1430/rebecq/vbd90890
Brussels,Apartment,,2475,rent,3,85,1,1,0,0,0,0,0,https://immovlan.be/en/detail/apartment/for-rent/1000/brussels/rwc41906
Brussels,Duplex,,1300,rent,2,100,0,0,0,0,0,0,0,https://immovlan.be/en/detail/duplex/for-rent/1000/brussels/vbd90872
Nivelles,Residence,,1600,rent,3,142,0,0,0,1,16,1,118,https://immovlan.be/en/detail/residence/for-rent/1400/nivelles/vbd90896
Sint-Lambrechts-Woluwe,Apartment,,1650,rent,2,100,1,1,0,1,,0,0,https://immovlan.be/en/detail/apartment/for-rent/1200/sint-lambrechts-woluwe/vbd90892
Jodoigne,Residence,,105000,public,4,0,0,0,0,0,0,0,0,https://immovlan.be/en/detail/residence/in-public-sale/1370/jodoigne/vbd90862
Virginal-Samme,Residence,,1250,rent,3,160,0,0,0,0,0,0,0,https://immovlan.be/en/detail/residence/for-rent/1460/virginal-samme/vbd90878
Enghien,Apartment,,600,rent,1,44,0,0,0,0,0,0,0,https://immovlan.be/en/detail/apartment/for-rent/7850/enghien/vbd90876
Ukkel,Apartment,,1200,rent,2,75,0,0,0,1,,0,0,https://immovlan.be/en/detail/apartment/for-rent/1180/ukkel/vbd90865
Saint-Servais,Apartment,,1000,rent,2,78,0,0,0,1,9,0,0,https://immovlan.be/en/detail/apartment/for-rent/5002/saint-servais/vbd90871
Schaarbeek,Apartment,,1150,rent,2,70,0,0,0,0,0,0,0,https://immovlan.be/en/detail/apartment/for-rent/1030/schaarbeek/vbd90870
Elsene,Apartment,,1600,rent,1,62,1,1,0,0,0,0,0,https://immovlan.be/en/detail/apartment/for-rent/1050/elsene/vbd90863
